"ID","created_at","user_id","billboard_group_id","NOTE","TITLE"
"1","2015/05/25","1","2","test3

aaa   aa

aaa  aa
aa


<table>
<tr>
  <td>ああああああああ</td><td>ああああああああ</td>
</tr>
</table>","タイトル2"
"2","2015/05/22","1","2","test2222","タイトル"
"9","2015/05/22","2","1","ああ
ああ","タイトル2"
"11","2015/05/25","2","1","
■過去に実施した研修
第45回 2014年冬  個人目標コラボ・事業計画検討会                事務所
第44回 2014年秋  個人目標コラボ                                事務所
第43回 2014年夏  個人目標コラボ                                事務所
第42回 2014年春  個人目標コラボ                                事務所
第41回 2013年冬  社内システム開発（環境整備・設計演習）        事務所
第40回 2013年秋  社内システム開発（環境整備・設計演習）        事務所
第39回 2013年夏  社内システム開発（環境整備・設計演習）        事務所
第38回 2013年春  社内システム開発（環境整備・作成システム検討）事務所
第37回 2012年冬  アジャイル開発体験（タスク分け実習）          事務所
第36回 2012年秋  アジャイル開発体験（インセプションデッキ作成）事務所
第35回 2012年夏  問題解決ワークショップ                        事務所
第34回 2011年冬  Android                                       オープンソースラボ
第33回 2011年秋  Android                                       事務所
第32回 2011年夏  Android                                       テクノアーク
第31回 2011年春  Android                                       オープンソースラボ
第30回 2010年冬  Ruby On Rails                                 事務所
第29回 2010年秋  Ruby On Rails                                 事務所
第28回 2010年夏  Ruby On Rails                                 事務所
第27回 2009年冬  社内システム開発によるシステム設計            事務所
第26回 2009年夏  社内システム開発によるシステム設計            テクノアーク
第25回 2009年春  社内システム開発によるシステム設計            事務所
第24回 2008年冬  社内システム開発によるシステム設計            事務所
第23回 2008年秋  社内システム開発によるシステム設計            事務所
第22回 2008年夏  社内システム開発によるシステム設計            事務所
第21回 2008年夏  社内システム開発によるシステム設計            事務所
第20回 2007年冬  Ruby On Rails                                 事務所
第19回 2007年秋  Ruby On Rails                                 事務所
第18回 2007年夏  Ruby On Rails                                 事務所
第17回 2007年春  Ruby On Rails                                 事務所
第16回 2006年冬  JSFについて                                   事務所
第15回 2006年夏  SPRINGについて                                事務所
第14回 2006年春  イントラ開発について（全般）                  事務所
第13回 2005年冬  LinuxでのWEBアプリ作成                        プラバホール
第12回 2005年秋  LinuxでのWEBアプリ作成                        事務所
第11回 2005年夏  LinuxでのWEBアプリ作成                        事務所
第10回 2005年春  MVCを意識したWEBアプリ                        事務所
第9回 2004年冬   MVCを意識したWEBアプリ                        事務所
第8回 2004年秋   MVCを意識したWEBアプリ                        事務所
第7回 2002年冬   ロボット                                      事務所
第6回 2001年冬   社内イントラ                                  くにびきメッセ
第5回 2001年夏   社内イントラ                                  しらさぎ温泉
第4回 2000年     XML・サーブレット                             玉造温泉
第3回 1999年     Java                                          湯原温泉
第2回 1998年     Linux                                         皆生温泉
第1回 1997年     イントラネットについて                        湖陵温泉","テスト"
"14","2015/05/25","2","2","ああ","タイトル2"
"16","2015/05/25","2","2","あ","ああ"
"17","2015/05/25","2","4","あ","あ"
"18","2015/05/25","2","2","あああ","タイトル2"
"19","2015/05/25","1","4","aaaaa","タイトル"
"20","2015/05/26","1","1","aaaa","タイトル2"
